title,year,genre,director,rating,votes,runtime,revenue
711 Ocean Drive,1950,"Crime, Drama, Noir",Francis Ford Coppola,6.3,15586,106,116.0
Abbott and Costello in the Foreign Legion,1950,Comedy,Christopher Nolan,7.0,14259,111,623.4
Across the Badlands,1950,Western,Christopher Nolan,5.4,13541,120,
The Admiral Was a Lady,1950,Comedy,Peter Jackson,7.2,18030,127,
All About Eve,1950,Drama,Denis Villeneuve,6.2,4851,117,
Ambush,1950,Western,Wes Anderson,7.2,42555,79,23.8
American Guerrilla in the Philippines,1950,War,Steven Spielberg,7.4,12155,97,38.3
Annie Get Your Gun,1950,"Musical, Comedy",Stanley Kubrick,7.3,5978,116,282.3
The Arizona Cowboy,1950,Western,Steven Spielberg,5.4,50263,133,
Arizona Territory,1950,Western,Wes Anderson,7.4,10155,138,35.2
Armored Car Robbery,1950,Noir,David Fincher,6.5,86243,103,166.1
The Asphalt Jungle,1950,"Noir, Action",Paul Thomas Anderson,6.8,112988,132,140.0
At War with the Army,1950,"Musical, Comedy",Quentin Tarantino,5.1,17630,121,4.8
The Avengers,1950,Adventure,Wes Anderson,6.8,3433,89,84.4
Backfire,1950,"Crime, Thriller, Noir",Martin Scorsese,3.8,33332,94,
The Bandit Queen,1950,Western,Martin Scorsese,5.6,44124,106,595.7
The Baron of Arizona,1950,Western,Martin Scorsese,8.5,46333,104,
Barricade,1950,Western,Quentin Tarantino,6.0,43337,137,136.7
Battling Marshal,1950,Western,Alfred Hitchcock,7.4,240292,122,21.9
Beauty on Parade,1950,Drama,Quentin Tarantino,8.2,106785,125,98.6
Belle of Old Mexico,1950,"Musical, Comedy",Peter Jackson,6.3,26661,150,
Bells of Coronado,1950,Western,Wes Anderson,6.6,63364,79,
Between Midnight and Dawn,1950,"Crime, Thriller, Noir",Martin Scorsese,5.7,31960,92,110.6
Beware of Blondie,1950,Comedy,Steven Spielberg,8.4,3920,111,
Beyond the Purple Hills,1950,Western,Unknown Director,6.8,14218,104,133.2
The Big Hangover,1950,Comedy,Martin Scorsese,7.0,11373,74,
The Big Lift,1950,"War, Drama",James Cameron,5.7,87424,126,
Black Hand,1950,"Crime, Drama, Noir",David Fincher,7.0,27741,109,
Black Jack,1950,Adventure,Quentin Tarantino,7.1,41971,118,46.0
The Black Rose,1950,"Historical, Adventure",Martin Scorsese,7.7,117027,99,312.8
The Blazing Sun,1950,Western,James Cameron,5.7,22473,111,9.7
Blonde Dynamite,1950,Comedy,Unknown Director,8.4,21699,94,181.5
Blondie's Hero,1950,"Comedy, War",Ridley Scott,6.5,43874,103,103.1
Blue Grass of Kentucky,1950,"Western, Drama, Sports",Wes Anderson,6.9,105049,113,362.2
Blues Busters,1950,Comedy,David Fincher,5.1,21317,94,
Border Outlaws,1950,Western,Wes Anderson,7.0,14684,140,193.2
Borderline,1950,"Noir, Crime",Martin Scorsese,9.0,647,89,45.6
Border Rangers,1950,Western,Denis Villeneuve,8.8,143115,93,86.0
Border Treasure,1950,Western,Christopher Nolan,5.4,68354,164,
Born to Be Bad,1950,"Drama, Noir",Quentin Tarantino,3.9,3280,94,15.7
Born Yesterday,1950,"Comedy, Drama",Stanley Kubrick,6.8,60841,127,57.5
The Boy from Indiana,1950,"Sports, Drama",Coen Brothers,7.2,32294,108,177.7
Branded,1950,Western,Coen Brothers,7.6,47010,114,386.0
The Breaking Point,1950,"Noir, Crime, Drama",Coen Brothers,6.5,75732,119,
Breakthrough,1950,War,Ridley Scott,6.5,13507,64,
Bright Leaf,1950,"Drama, Western",David Fincher,7.4,1428,71,
Broken Arrow,1950,Western,Francis Ford Coppola,5.0,51086,125,158.7
Buccaneer's Girl,1950,"Adventure, Romance",Paul Thomas Anderson,8.1,15675,81,13.8
Bunco Squad,1950,Crime,Stanley Kubrick,5.7,3154,119,85.1
Caged,1950,Noir,Stanley Kubrick,7.1,1528,95,497.0
California Passage,1950,Western,David Fincher,7.5,75228,123,369.6
Call of the Klondike,1950,Western,Peter Jackson,7.7,43463,115,56.4
"Captain Carey, U.S.A.",1950,"Noir, Crime",Alfred Hitchcock,7.6,20878,83,
Captain China,1950,Adventure,Peter Jackson,5.6,34821,137,1149.3
Captive Girl,1950,Adventure,Alfred Hitchcock,6.0,100,133,538.9
The Capture,1950,Western,Unknown Director,5.9,51096,129,
Cargo to Capetown,1950,"Noir, Crime",Alfred Hitchcock,8.4,69489,101,194.6
The Cariboo Trail,1950,Western,Francis Ford Coppola,7.3,62733,79,
Chain Gang,1950,"Crime, Drama",Steven Spielberg,6.7,212914,114,964.9
Chain Lightning,1950,Drama,Quentin Tarantino,6.3,24727,90,
Champagne for Caesar,1950,Comedy,Martin Scorsese,8.5,96107,111,
Cheaper by the Dozen,1950,"Comedy, Biography",Paul Thomas Anderson,6.9,63184,145,54.4
Cherokee Uprising,1950,Western,Paul Thomas Anderson,4.7,32718,60,
Cinderella,1950,"Animated, Fantasy, Musical",Paul Thomas Anderson,6.2,84668,86,
Code of the Silver Sage,1950,Western,Francis Ford Coppola,6.4,14769,87,
Colorado Ranger,1950,Western,Francis Ford Coppola,6.1,31100,144,18.4
Colt .45,1950,Western,Quentin Tarantino,6.4,38245,127,62.1
Comanche Territory,1950,Western,Paul Thomas Anderson,6.8,21016,130,25.6
Convicted,1950,"Noir, Crime",Wes Anderson,7.8,71349,95,548.2
Copper Canyon,1950,Western,Francis Ford Coppola,4.6,63912,136,20.5
Counterspy Meets Scotland Yard,1950,"Crime, Noir",Ridley Scott,5.1,62776,129,
County Fair,1950,Drama,Wes Anderson,9.5,55818,82,208.0
Covered Wagon Raid,1950,Western,Stanley Kubrick,4.3,6633,127,19.8
Cow Town,1950,Western,Coen Brothers,6.6,70790,90,30.3
Crisis,1950,Noir,Francis Ford Coppola,6.8,73407,81,5.1
Crooked River,1950,Western,Denis Villeneuve,5.7,52711,104,235.9
Cry Murder,1950,Crime,Martin Scorsese,8.2,210958,134,1531.6
Curtain Call at Cactus Creek,1950,"Comedy, Western",Peter Jackson,7.5,163743,99,387.2
Customs Agent,1950,"Crime, Thriller",Martin Scorsese,8.2,119787,130,
Cyrano de Bergerac,1950,"Adventure, Comedy",Denis Villeneuve,6.2,36288,107,57.4
D.O.A.,1950,Noir,Paul Thomas Anderson,5.5,93994,117,
Dakota Lil,1950,Western,Stanley Kubrick,4.7,121695,122,
Dallas,1950,Western,Stanley Kubrick,8.3,39919,93,40.8
The Daltons' Women,1950,Western,David Fincher,6.5,55159,84,271.5
The Damned Don't Cry,1950,"Noir, Crime, Drama",Stanley Kubrick,7.0,22401,144,102.2
Dark City,1950,"Noir, Crime",Francis Ford Coppola,6.6,41126,130,
The Daughter of Rosie O'Grady,1950,Musical,Steven Spielberg,5.7,69045,91,57.0
"David Harding, Counterspy",1950,"Noir, Crime",Denis Villeneuve,5.9,36591,93,210.4
"Davy Crockett, Indian Scout",1950,Western,Martin Scorsese,6.2,13809,94,
Deported,1950,"Noir, Crime",Ridley Scott,5.7,132127,140,184.4
The Desert Hawk,1950,"Adventure, Action",Martin Scorsese,4.8,33537,91,
Destination Big House,1950,Crime,Quentin Tarantino,6.2,17165,128,153.6
Destination Moon,1950,"Science Fiction, Independent",Alfred Hitchcock,7.4,117339,92,84.9
Destination Murder,1950,"Noir, Crime",Steven Spielberg,9.2,45969,125,6.6
Devil's Doorway,1950,Western,Alfred Hitchcock,7.1,45191,113,22.7
Dial 1119,1950,Noir,Wes Anderson,5.1,37796,123,24.6
Duchess of Idaho,1950,"Musical, Comedy, Romance",Martin Scorsese,7.5,55978,108,
Double Deal,1950,"Crime, Drama",Ridley Scott,6.7,55665,123,108.7
The Du Pont Story,1950,"Biography, Drama, Historical",James Cameron,5.0,24412,126,416.0
Dynamite Pass,1950,Western,Peter Jackson,4.7,93126,118,90.1
The Eagle and the Hawk,1950,Western,Ridley Scott,8.4,4787,89,
